,dam_code,geometry
366,414,POINT (140.6152480670492 39.36634103580985)
367,431,POINT (140.1658595408708 39.10339228166485)
368,435,POINT (140.25539259579 39.43694455197974)
369,424,POINT (140.5820623721676 39.34827788057353)
370,426,POINT (140.6240649716619 39.19637680606127)
371,407,POINT (140.4268718251723 39.39467512069523)
372,395,POINT (140.1308205360702 40.06223565133389)
373,378,POINT (140.7620398769616 40.32988003773187)
374,394,POINT (140.1044076744508 39.81664849915162)
375,406,POINT (140.6139844913978 39.43009811157842)
376,382,POINT (140.5405237530498 40.31191737933328)
377,387,POINT (140.5888457633883 40.2626474844759)
378,393,POINT (140.1193221851939 40.1355622495992)
379,438,POINT (139.9848236482103 39.02797852800835)
380,439,POINT (140.0039746817633 38.94854457045543)
381,448,POINT (140.1358219667231 38.28731051991485)
382,456,POINT (140.1682977425914 37.8638302573642)
383,451,POINT (140.0461379158824 37.84054628060738)
384,463,POINT (140.0280736907131 37.86610826995454)
385,476,POINT (140.235299767531 38.02999650981492)
386,467,POINT (139.9226867473325 37.97312027240086)
387,484,POINT (139.9573006343043 38.10082990774664)
388,446,POINT (139.9217676090535 38.1488021289553)
389,477,POINT (140.0372955604053 38.28347413063612)
390,444,POINT (140.1486456676799 38.34335529644898)
391,468,POINT (140.2133900289849 38.39022825073754)
392,461,POINT (140.3464439351278 38.10156108042214)
393,474,POINT (140.3293012544612 38.11941259452287)
394,473,POINT (140.2334197894251 38.12392497540345)
395,459,POINT (140.2786337103153 38.10082951425309)
396,479,POINT (140.440061555905 38.1947512900242)
397,460,POINT (140.0401491837711 38.45333704313993)
398,471,POINT (140.0068855973356 38.45160242963877)
399,472,POINT (140.0725862233529 38.43455420136642)
400,464,POINT (140.2941935835471 38.46360088738001)
401,465,POINT (140.4751092993483 38.44868770683367)
402,470,POINT (140.4483588007131 38.45907666430924)
403,442,POINT (140.2917242015861 38.47324110468271)
404,482,POINT (140.4102819185791 38.47940909462959)
405,462,POINT (140.2892910426956 38.52190154352652)
406,458,POINT (140.3528791705718 38.56021940055867)
407,478,POINT (140.519799948219 38.53252840458514)
408,480,POINT (140.4907705739138 38.5481767404304)
409,449,POINT (140.5243531115544 38.57465547970271)
410,466,POINT (140.1635557587041 38.96827283399276)
411,469,POINT (140.1841855091118 38.91946573237018)
412,450,POINT (140.423884936063 38.91076981844416)
413,486,POINT (140.3775408319008 38.85896500530829)
414,457,POINT (140.0428199290772 38.62427001689759)
415,485,POINT (140.0279397726354 38.84304598818411)
416,489,POINT (139.7833228699334 38.50746500732538)
417,493,POINT (139.8960628957378 38.58331224966075)
418,491,POINT (139.8878259394191 38.5877895008752)
419,492,POINT (139.8751096749953 38.51213837879298)
420,494,POINT (139.6697094741085 38.59316259453722)
421,495,POINT (139.8238760698687 38.03666603794056)
422,948,POINT (139.691826014601 38.06376689096265)
423,475,POINT (140.1955989485603 38.35422244078148)
424,483,POINT (140.581685824839 38.69450525143411)
425,488,POINT (140.4510221617062 38.36089322530325)
426,447,POINT (139.9666914398093 38.86402389607352)
427,453,POINT (139.9714698716648 38.85967219182857)
428,455,POINT (140.2407592407247 38.18837394792268)
429,441,POINT (140.358300053783 38.75384314744348)
430,487,POINT (140.3796487548622 38.82144733164792)
431,445,POINT (140.2854303158683 38.45179630239939)
432,440,POINT (140.2053535486927 38.34496046144466)
433,481,POINT (140.220289287478 38.35674393262773)
434,443,POINT (140.1413380009116 38.25929489727832)
435,452,POINT (139.9550732803199 38.04433659682222)
436,454,POINT (139.9833319060586 38.65393933701258)
437,490,POINT (139.8106599807939 38.55429687629311)
438,221,POINT (141.4682400471001 38.73118550270015)
439,270,POINT (140.8689721605488 38.78003418050384)
440,269,POINT (140.8689721605488 38.78003418050384)
441,227,POINT (140.839985719036 38.75503868985842)
442,228,POINT (140.8574500519925 38.88552101069504)
443,271,POINT (140.9188464864892 38.90740355696178)
444,268,POINT (141.1471603739632 38.71077947294095)
445,251,POINT (140.8591977848896 38.72387853055545)
